Woman,Timepoint,Lactobacillus_crispatus,Lactobacillus_iners,Lactobacillus_jensenii,Gardnerella_vaginalis,Lactobacillus_gasseri,Bifidobacterium_longum,BVAB1,Atopobium_vaginae,Streptococcus_agalactiae,Prevotella_buccalis,Megasphaera_genomosp.,Prevotella_sp.,Prevotella_amnii,Sneathia_sanguinegens,Peptoniphilus_harei,Mageeibacillus_indolicus,Prevotella_bivia,Lactobacillus_kefiranofaciens,Bifidobacterium_breve,Prevotella_timonensis,Staphylococcus_aureus,Mobiluncus_mulieris,Coprobacillus_sp.,Ruminococcus_lactaris,Lactobacillus_johnsonii,Streptococcus_anginosus,Lactobacillus_oris,Finegoldia_magna,Megasphaera_sp.,Enterococcus_faecium,Thermobifida_cellulosilytica,Escherichia_coli,Peptoniphilus_asaccharolyticus,Paracoccus_denitrificans,Lactobacillus_vaginalis,Candidatus_Pelagibacter,Megasphaera_micronuciformis,Burkholderia_mallei,Prevotella_disiens,Anaerococcus_hydrogenalis,Lactobacillus_amylovorus,Peptoniphilus_lacrimalis,Sneathia_amnii,Prevotella_multiformis,Fusobacterium_ulcerans,Arcanobacterium_sp.,Staphylococcus_epidermidis,Lactobacillus_amylolyticus,Dorea_formicigenerans,Mobiluncus_curtisii,Prevotella_bergensis,Prevotella_corporis,Anaerococcus_tetradius,Actinomyces_graevenitzii,Prevotella_oris,Dialister_microaerophilus,Lactobacillus_coleohominis,Ureaplasma_parvum,Corynebacterium_pseudogenitalium,Anaerococcus_lactolyticus,Clostridiales_Family,Lactobacillus_antri,Lactobacillus_ultunensis,Ureaplasma_urealyticum,Lactobacillus_helveticus,Dialister_micraerophilus,Bacteroides_thetaiotaomicron,Clostridium_sp.,Corynebacterium_jeikeium,Prevotella_melaninogenica,Prevotella_denticola,Prevotella_pallens,Enterococcus_faecalis,Peptostreptococcus_sp.,Actinomyces_sp.,Acinetobacter_baumannii,Peptostreptococcus_anaerobius,Propionibacterium_sp.,Prevotella_stercorea,Actinomyces_neuii,Staphylococcus_haemolyticus,Streptococcus_urinalis,Porphyromonas_uenonis,Mycoplasma_hominis,Streptococcus_pseudoporcinus,Staphylococcus_lugdunensis,Propionimicrobium_lymphophilum,Peptoniphilus_indolicus,Corynebacterium_amycolatum,Facklamia_hominis,Lactobacillus_fermentum,Peptoniphilus_duerdenii,Streptococcus_pneumoniae,Parvimonas_micra,Prevotella_micans,Streptococcus_bovis,Prevotella_oulorum,Streptococcus_mitis,Eubacterium_siraeum,Bifidobacterium_dentium,Anaerococcus_prevotii,Corynebacterium_aurimucosum,Lactobacillus_acidophilus,Prevotella_buccae,Prevotella_histicola,Parvimonas_sp.,Tannerella_forsythensis,Atopobium_parvulum,Megasphaera_elsdenii,Porphyromonas_asaccharolytica,Fusobacterium_gonidiaformans,Streptococcus_constellatus,Dialister_invisus,Veillonella_parvula,Corynebacterium_genitalium,Corynebacterium_diphtheriae,Prevotella_nanceiensis,Prevotella_tannerae,Porphyromonas_levii,Corynebacterium_striatum,Jonquetella_anthropi,Actinomyces_europaeus,Oribacterium_sp.,Corynebacterium_glucuronolyticum,Veillonella_atypica,Salmonella_enterica,Streptococcus_dysgalactiae,Filifactor_alocis,Prevotella_maculosa,Faecalibacterium_prausnitzii,Acidaminococcus_intestini,Brevibacterium_mcbrellneri,Eubacterium_cylindroides,Prevotella_bryantii,Actinobaculum_massiliae,Actinomyces_turicensis,Prevotella_oralis,Eremococcus_coleocola,Peptoniphilus_sp.,Streptococcus_gallolyticus,Bifidobacterium_animalis,Aerococcus_urinae,Streptococcus_salivarius,Streptococcus_massiliensis,Prevotella_intermedia,Megasphaera_cerevisiae,Prevotella_salivae,Parabacteroides_sp.,Streptococcus_sp.,Bifidobacterium_sp.,Bacillus_cereus,Sutterella_wadsworthensis,Streptococcus_vestibularis,Odoribacter_splanchnicus,Streptococcus_pyogenes,Streptococcus_orisratti,Corynebacterium_urealyticum,Pasteurella_bettyae,Lactobacillus_reuteri,Corynebacterium_lipophiloflavum,Fusobacterium_nucleatum,Veillonella_sp.,Klebsiella_oxytoca,Prevotella_nigrescens,Haemophilus_parainfluenzae,Leptotrichia_sp.,Streptococcus_equi,Gemella_haemolysans,Granulicatella_adiacens,Actinobacillus_pleuropneumoniae,Actinomyces_urogenitalis,Leptotrichia_shahii,Lactococcus_lactis,Peptostreptococcus_stomatis,Streptococcus_pseudopneumoniae,Streptococcus_parasanguinis,Prevotella_marshii,Treponema_phagedenis,Actinobaculum_schaalii,Veillonella_ratti,Odoribacter_laneus,Prevotella_dentalis,Pasteurella_multocida,Collinsella_tanakaei,Actinomyces_coleocanis,Mycoplasma_primatum,Anaerococcus_vaginalis,Lachnospiraceae_bacterium,Lactobacillus_delbrueckii,Beggiatoa_sp.,Clostridium_difficile,Fusobacterium_sp.,Prevotella_multisaccharivorax,Porphyromonas_somerae,Aerococcus_viridans,Staphylococcus_caprae,Bifidobacterium_pseudocatenulatum,Lactobacillus_sakei,Enterococcus_durans,Prevotella_veroralis,Lactobacillus_ruminis,Bacteroides_sp.,Proteus_mirabilis,Neisseria_gonorrhoeae,Streptococcus_ictaluri,Solobacterium_moorei,Mycobacterium_parascrofulaceum,Leptotrichia_wadei,Bacteroides_vulgatus,Streptococcus_sanguinis,Bacteroides_ovatus,Lactobacillus_salivarius,Eubacterium_sp.,Streptococcus_macacae,Eggerthella_lenta,Eggerthella_sp.,Bifidobacterium_bifidum,Granulicatella_elegans,Bacteroides_intestinalis,Bacteroides_stercoris
1,0,0.961986577,0.000823042,0.013768326,0.00094646,0.001607302,1.50E-07,2.06E-06,3.76E-05,8.38E-06,2.87E-06,4.07E-06,1.93E-07,8.80E-06,0,9.73E-07,1.56E-06,0.000457949,8.82E-05,9.22E-07,2.27E-05,1.14E-06,5.76E-06,0.001182554,2.51E-06,4.87E-05,8.08E-06,2.33E-07,2.87E-05,0,0.00746517,0.000334306,4.39E-06,0,0.000131638,0.00037607,8.49E-05,1.41E-06,0.00975375,5.47E-06,4.44E-07,2.58E-06,7.32E-07,0,0,0.000103144,5.37E-07,6.27E-06,4.16E-06,0,0,5.86E-07,1.07E-06,3.62E-05,4.21E-07,4.59E-07,0,7.37E-05,0,1.93E-06,1.40E-06,2.80E-06,3.96E-07,0.000131195,1.67E-05,0.00026595,6.10E-07,0,0,0,6.16E-07,1.28E-06,1.26E-06,9.01E-07,0,8.00E-07,0,8.65E-07,6.21E-06,0,2.50E-05,9.15E-06,0,0,0,1.59E-06,8.36E-06,0,0,0,0,2.80E-06,2.01E-06,0,0,0,0,0,5.07E-07,0,0,0,0,6.46E-05,1.38E-06,0,0,0,0,0,0,0,0,0,3.88E-07,0,5.25E-07,0,0,0,0,0,0,0,0,7.41E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.56E-07,0,0,4.27E-06,0,0,0,0,1.54E-06,0,0,0,0,7.16E-07,0,0,0,0,0,0,0,0,0,0,8.09E-07,1.38E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07E-07,0,0,0,0,0,0,5.60E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.926827755,0.000639182,0.012010984,0.000702449,0.000318636,0,0.000112285,1.57E-05,0,1.53E-05,3.28E-06,2.51E-06,6.55E-05,7.99E-07,5.79E-06,1.08E-05,7.14E-06,0.044173353,2.30E-06,1.03E-05,0,2.13E-05,0.000602248,3.16E-06,0.000882994,8.39E-06,0,4.89E-06,0,0.003571367,0.000142231,6.71E-06,0,7.16E-05,9.68E-06,4.00E-05,0,0.004404072,1.13E-06,0,0.002512678,1.74E-06,8.34E-06,1.42E-06,2.21E-05,0,5.17E-06,0.00185598,0,3.11E-07,0,0,1.78E-06,0,0,2.33E-07,1.26E-05,0,0,0,5.44E-07,0,0.000478282,5.03E-07,0.000309371,0,0,0,0,4.95E-07,0,0,0,9.73E-07,0,0,4.26E-06,1.09E-06,0,3.76E-07,0,0,1.24E-05,0,0,1.03E-06,0,0,0,0,0,3.04E-07,0,0,0,0,0,0,0,0,0,0,7.28E-05,0,0,0,0,0,0,6.17E-07,0,4.69E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51E-07,0,0,0
2,0,0.780124656,0.000670938,0.0622299,0.040120603,0.095364593,0,0.000137335,8.21E-05,3.25E-06,0,3.77E-06,2.66E-07,9.13E-06,2.52E-05,9.45E-06,1.39E-05,4.18E-06,0.000155772,0,0,0,5.15E-06,0.001116245,9.32E-07,0.001259755,6.46E-07,2.41E-06,2.63E-06,0,0.005634293,0.000182331,1.84E-07,3.37E-06,0.000123084,0.000552754,9.32E-05,0,0.005831751,0,0,0.002875227,9.70E-07,0,0,2.80E-05,5.30E-07,6.66E-06,0.00205758,0,0,0,0,3.67E-06,3.33E-07,0,0,0.00011064,0.000174323,2.74E-06,0,1.55E-06,0,0.000501857,0.000123592,0.000276129,3.52E-07,0,4.98E-06,1.54E-06,0,0,0,2.61E-07,3.46E-06,0,0,1.57E-06,8.71E-06,0,6.48E-07,0,0,0,0,0,0,0,0,3.71E-07,0,4.09E-06,0,0,0,0,0,0,0,0,0,0,0,4.52E-05,0,0,0,0,0,0,0,0,0,4.19E-07,0,0,0,0,0,0,0,0,0,0,2.46E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76E-07,0,0,0,0,0,0,0,0,0,1.52E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.95066946,0.006925439,0.019702437,0.000933833,0.000227361,0,2.90E-05,6.41E-06,2.50E-06,0,2.86E-06,3.84E-06,3.18E-08,0,1.85E-06,9.79E-07,3.22E-05,0,7.41E-07,2.50E-06,0,0,0.002006565,0,0.001211517,0,2.00E-07,1.77E-05,0,0.007709304,0.00023128,9.90E-06,0,0.000314068,0.000114433,4.97E-05,0,0.007676772,1.51E-06,0,2.46E-06,0,0,0,2.36E-05,0,4.87E-05,4.19E-07,0,0,0,0,7.47E-07,0,0,4.16E-07,0.000286631,0.000263732,5.42E-05,0,8.08E-07,0,0.00068399,0.000205397,0.000338749,5.61E-07,0,0,1.13E-06,2.36E-07,0,0,3.89E-06,0,1.78E-06,8.86E-07,4.10E-06,6.55E-05,0,7.90E-06,1.05E-05,0,1.58E-06,0,8.23E-07,1.25E-06,0,0,5.83E-07,0,1.18E-06,0,0,0,0,4.21E-07,0,9.41E-07,0,0,0,6.82E-07,7.81E-05,0,0,0,0,0,0,0,0,0,0,3.23E-06,1.82E-06,0,0,0,0,1.38E-06,0,0,0,3.70E-07,6.77E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.26E-07,0,0,1.53E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94E-06,0,0,0,0,0,5.44E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,6.61E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0.004054112,0.867328174,0.001502291,0.008080172,0.000157037,0,0.003447637,0.00266412,1.81E-05,0,1.37E-05,0,0.000316848,1.42E-05,0.000116716,0.00023155,2.15E-05,0,0,1.70E-05,4.27E-06,0.000485051,0.006603437,8.96E-05,3.91E-05,2.88E-05,0,7.22E-05,0,0.039047578,0.001303506,2.21E-05,1.95E-05,0.000695308,0,0.000762512,1.42E-05,0.06156865,1.92E-05,3.45E-06,6.91E-06,4.61E-06,2.96E-06,1.28E-05,0.000193375,2.89E-05,0.000206345,0,0,2.39E-05,0,8.58E-06,5.71E-05,1.01E-05,0,1.66E-07,0,2.05E-05,6.02E-05,1.62E-05,0.000157802,0,0,9.33E-06,0,3.10E-05,0,0,1.90E-06,1.68E-06,0,0,2.58E-05,7.52E-06,7.88E-06,0,3.27E-06,0.000149386,0,3.73E-05,7.83E-05,0,1.12E-06,0,0,0,0,0,7.06E-06,3.98E-06,0,0,2.79E-06,0,0,0,0,0,1.93E-06,0,9.80E-06,5.44E-06,0,0,0,0,0,0,0,1.47E-06,0,0,3.63E-06,0,2.24E-05,0,0,0,0,7.97E-07,0,0,0,1.30E-06,0,0,0,0,0,0,0,0,0,0,7.72E-07,0,0,9.63E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0.00211483,0.815854634,0.00611284,0.00279848,6.27E-05,9.24E-05,0.003147273,0.000574547,0.104339858,3.34E-05,3.92E-05,5.31E-06,0.000142088,2.40E-06,0.000304169,0.000258999,0.000211249,7.27E-06,1.34E-06,3.15E-05,0.007209932,0.000297219,0.00355489,2.45E-06,3.95E-05,0.000139719,0,0.000735553,0,0.019724967,0.00067414,1.70E-05,0,0.000363132,0,0.000420553,3.36E-06,0.029112878,1.23E-05,5.33E-05,0,1.12E-05,0,0,3.64E-05,2.50E-05,3.63E-05,0,0,8.99E-06,1.09E-05,5.19E-05,4.39E-05,1.34E-06,0,2.94E-06,0,0,3.61E-05,3.31E-06,0.000110385,0,0,2.49E-06,0,4.69E-05,1.36E-06,0,3.69E-05,0,1.95E-06,0,0.000100886,3.43E-05,5.96E-05,0,9.39E-05,2.74E-05,0,2.45E-05,0.000125713,8.93E-06,0,0,4.70E-05,5.22E-05,2.92E-06,0,3.17E-05,3.10E-05,0,5.60E-06,2.84E-06,0,0,8.66E-05,0,6.67E-06,0,0,2.48E-05,3.38E-05,0,0,0,0,7.24E-07,0,2.08E-06,0,2.23E-05,0,0,2.68E-06,1.00E-05,0,0,1.01E-06,0,2.20E-05,0,2.75E-06,0,1.75E-06,0,0,5.55E-05,1.15E-05,0,0,0,0,0,0,0,4.35E-06,0,2.23E-05,0,0,0,0,0,5.13E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36E-06,0,0,0,0,0,0,0,0,0,1.68E-05,0,0,0,0,0,0,0,0,0,0,2.35E-06,0,0,5.13E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0.000978691,0.914746484,0.00098481,0.004719378,0.000291324,0.00093624,0.000517719,0.000402912,9.64E-05,2.11E-05,0.000135576,1.91E-05,5.98E-05,4.22E-06,3.27E-05,0.000541839,1.54E-05,0,9.08E-06,2.28E-05,0.00312555,2.40E-06,0.006911685,9.29E-06,4.27E-05,5.29E-05,0,0.000705477,0,0.019651693,0.000491114,0.002579567,1.01E-05,0.000473223,4.83E-06,0.000184706,2.23E-06,0.038978733,5.61E-06,0.000395884,0,4.05E-06,4.22E-06,0,0.000105671,1.20E-05,9.42E-06,0,3.21E-06,0,1.09E-06,1.13E-05,2.23E-05,0,0,5.60E-05,0,6.55E-06,0.000195888,0,2.28E-06,1.66E-06,0,1.15E-05,2.13E-06,0.000488071,0,0,1.09E-05,0,3.17E-06,2.09E-06,0.000177198,1.20E-05,0,0,1.03E-05,0.000263178,0,0,2.78E-05,0,0,0,0.000216146,2.21E-06,6.31E-06,0,8.40E-06,3.04E-06,0,0,0,0,0,2.79E-05,0,0,0,0,8.53E-06,0,0,0,0,0,0,0,0,4.58E-06,0,0,0,1.86E-05,0,7.52E-06,0,0,0,0,0,0,0,0,0,8.04E-06,0,6.65E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18E-06,0,0,0,0,0,0,2.91E-06,0,0,3.23E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82E-06,0,0,0,0,1.86E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0.774316202,0.132908799,0.041568269,0.001366438,0.001300787,0,0.00059837,0.000184822,2.26E-06,1.14E-05,9.03E-07,8.98E-06,3.90E-05,1.26E-05,0.000149749,3.10E-05,0.00237675,0.000149712,9.49E-06,6.64E-05,9.10E-06,3.63E-05,0.004829789,0,0.000141195,2.69E-05,7.95E-07,0.000785531,0,0.013969516,0.000727746,0,0,0.001649642,0.000412731,9.23E-05,2.57E-05,0.017394534,3.47E-05,1.36E-05,0,4.92E-05,3.53E-06,0,6.65E-05,4.72E-07,0.000670742,0,1.96E-05,3.37E-06,6.77E-06,4.66E-06,0.000177905,0,6.29E-06,1.70E-06,0.00165853,0,0.00019848,2.69E-06,3.68E-05,6.58E-06,0.000121588,3.04E-06,0.00024475,2.76E-05,0,1.76E-06,3.14E-06,5.11E-06,5.14E-06,0,0.000153837,8.38E-06,0,4.24E-06,3.82E-05,2.92E-05,0,0.000160459,2.60E-05,0,0,0,4.76E-06,0.000575277,0,0,4.63E-05,1.99E-06,1.30E-06,2.78E-05,0,0,0,0,7.99E-07,3.42E-05,0,0,6.02E-07,1.09E-05,4.47E-05,0,0,0,1.44E-06,0,0,8.03E-07,0,0,0,2.26E-05,0,6.14E-06,0,1.09E-06,0,5.05E-06,0,0,0,4.28E-06,9.48E-05,0,0,0,0,0,0,0,0,0,1.52E-06,3.21E-06,0,0,4.70E-06,0,0,0,3.28E-05,0,0,0,0,4.38E-06,2.01E-06,0,0,0,3.91E-06,0,0,0,0,0,0,0,2.69E-06,0,0,0,1.63E-05,9.22E-07,0,1.23E-05,0,0,0,0,0,0,7.22E-06,1.10E-05,0,0,0,3.39E-06,0,3.53E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91E-06,0,0,1.79E-06,0,0,0,0,1.83E-06,1.69E-06,7.81E-07,0,0,0,1.27E-06,0,0,0,0,0,0,0,0,0,0
5,0,0.006683717,0.791838758,0.156304244,0.001815833,0.00038761,9.41E-05,0.002211307,0.000351481,0,5.09E-07,2.00E-05,0,0.000149524,1.50E-05,1.28E-06,0.000144556,2.64E-05,5.25E-06,6.36E-07,7.70E-06,0,0.000126645,0.00221841,0,2.50E-05,4.22E-05,0,4.04E-05,0,0.017038179,0.000511524,4.32E-06,0,0.000337737,0.000135696,0.00040117,0,0.018625783,7.21E-07,6.28E-06,1.43E-05,0,0,0,0.000247784,0,1.97E-05,4.47E-06,0,1.77E-05,0,1.52E-06,4.03E-06,0,0,0,2.19E-06,0,5.65E-06,0,3.27E-06,0,0,8.28E-06,4.63E-06,0,0,0,0,0,0,0,3.68E-06,1.05E-05,1.03E-06,0,0,1.45E-05,0,0,0,0,0,0,0,0,0,4.19E-05,7.20E-07,0,0,1.02E-06,0,0,0,0,0,0,0,0,0,0,1.64E-06,0,0,0,0,0,0,0,6.00E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.91E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
