5,1,0.014235902,0.056724947,0.855269823,0.000396423,0.000185121,0.000196455,0.000171152,8.11E-05,9.72E-06,2.48E-05,1.47E-05,6.69E-07,2.24E-05,1.22E-06,1.40E-06,1.58E-05,2.33E-05,0,1.78E-06,1.02E-05,1.84E-05,0,0.004402081,4.47E-06,2.23E-06,1.32E-06,2.52E-06,3.00E-05,0,0.034025372,0.001004256,7.97E-06,0,0.001234152,0,0.000380516,0,0.031115037,0,1.64E-06,0,0,0,0,0.000141887,1.14E-06,2.16E-05,0,0,0,0,2.53E-06,3.59E-06,8.69E-07,0,0,1.37E-05,2.56E-06,1.91E-05,1.09E-06,7.30E-07,0,0,0,6.85E-05,0,3.55E-06,0,7.17E-07,0,0,0,1.13E-05,3.02E-06,0,0,1.61E-06,4.85E-06,0,0,0,0,0,2.22E-06,0,0,0,4.16E-06,3.64E-05,6.19E-06,0,0,0,0,0,1.01E-06,0,0,0,0,0,7.63E-07,3.69E-06,0,0,0,8.98E-07,0,0,0,0,0,0,0,2.16E-05,0,1.49E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07E-06,0,0,0,0,0,0,0,0
6,0,0.007021467,0.001006629,0.923870576,0.000329009,0.000101201,1.80E-05,6.50E-05,0.000396444,0.000534288,0.000337334,2.84E-06,0.000112307,0.000131443,0,3.54E-05,8.96E-07,0.015088616,0.001613864,0.000627877,4.75E-05,0,1.21E-05,0.001925971,1.14E-06,4.59E-05,0.009676937,0,0.000194249,0,0.011962826,0.000559311,5.55E-06,0,0.000287108,0,0.000340607,1.35E-06,0.021724462,0.000152721,0.000255806,3.54E-06,1.15E-06,0,0,0.000199594,0,1.45E-06,5.80E-06,2.21E-05,0,1.91E-05,8.99E-05,5.74E-06,0,0,1.33E-05,0,0,8.57E-06,1.91E-05,5.59E-07,0,0,0,5.38E-06,1.35E-05,1.55E-05,0,7.94E-06,0,4.44E-06,6.97E-06,1.32E-05,9.95E-07,8.13E-07,0,0,6.53E-05,0,0,4.19E-06,0.000365637,4.58E-06,0,0.000107985,0,2.31E-06,0,3.01E-06,1.16E-06,0,4.85E-06,5.04E-05,0,0,0.000247429,0,0,1.23E-06,0,3.45E-06,1.09E-05,0,1.65E-06,0,0,6.38E-06,0,0,8.58E-06,8.15E-06,2.53E-06,0,1.94E-06,4.28E-06,0,0,1.46E-05,0,2.60E-06,0,1.01E-05,0,4.91E-06,0,0,8.43E-06,0,0,0,2.00E-06,0,0,0,1.34E-06,0,0,0,3.35E-06,2.96E-05,0,0,1.99E-06,0,0,0,0,1.66E-05,0,0,0,0,1.18E-05,0,0,8.94E-06,0,0,0,0,0,0,1.52E-06,0,0,1.31E-05,1.16E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19E-06,9.35E-07,0,0,0,0,0,0,0,0,0,0,0,1.63E-06,0,1.47E-06,0,0,0,0,0,0,0,0,0,0,0
6,1,0.00542458,0.001225225,0.892676913,0.000901164,0.000103951,0.000150439,7.26E-05,0.000515609,0.000590257,0.000219522,2.71E-05,5.42E-05,4.39E-05,0,0.000797811,1.08E-05,0.006051484,0.001584248,0.000165509,0.000221907,1.61E-05,1.11E-05,0.004223211,0,2.45E-05,0.00822991,0,0.002991831,5.27E-07,0.023703734,0.000959755,1.49E-05,0,0.000910084,0,0.000594876,1.00E-05,0.042458554,0.000185139,0.002007287,0,6.49E-06,0,0,0.000321442,1.00E-06,1.96E-05,0,1.76E-05,0,1.91E-05,0.000287387,3.71E-05,0,0,3.67E-05,1.68E-06,0,3.83E-05,0.000302881,7.93E-05,0,0,4.20E-06,6.02E-06,4.25E-05,6.46E-06,0,1.76E-06,5.67E-07,7.96E-06,3.39E-06,1.44E-05,7.06E-06,5.06E-06,0,4.46E-06,8.84E-05,0,0,0.000417522,0.000277922,0,0,8.73E-05,0,7.67E-06,0,8.98E-05,3.97E-05,0,4.45E-05,2.59E-05,0,0,3.04E-05,4.46E-06,0,0,0,4.02E-05,0.000128812,0,0,0,0,7.62E-07,0,0,7.73E-06,0,3.40E-06,1.95E-06,3.88E-05,4.31E-06,1.58E-05,0,5.60E-06,0,6.71E-06,6.69E-06,2.66E-05,0,5.01E-06,0,0,1.46E-05,0,0,0,0,0,0,0,0,1.02E-06,0,0,1.91E-05,3.27E-05,0,0,0,0,0,0,0,4.63E-06,0,0,0,0,1.59E-05,0,1.47E-05,2.00E-05,1.17E-06,0,0,0,0,0,1.74E-06,0,0,6.29E-06,8.83E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0.000119638,0.000470188,0.000917389,0.017681249,0.826703829,0.001947299,0,0,1.08E-05,4.77E-06,1.47E-05,1.87E-06,1.22E-06,0,4.78E-05,0,6.41E-05,0,9.98E-05,3.75E-05,0,0,0.019557827,0,0.009215713,0,0.009788959,7.23E-05,0,0.052001928,0.002114117,0.001684054,0,0.001668876,0.001370306,0.00052318,0,0.052008815,2.07E-05,6.48E-05,0,9.14E-06,0,0,0.001279845,0,2.60E-06,0,0,0,0,8.56E-07,1.82E-06,0,0,0,1.82E-05,0,2.92E-06,1.05E-06,1.81E-05,4.83E-05,1.21E-06,0,1.30E-05,5.47E-06,0,0,0,0,7.10E-07,0,9.90E-05,0,0,0,0,6.26E-06,0,4.02E-06,1.06E-06,0,0,0,0,0,0,0,0,1.75E-06,0.000105997,1.07E-06,0,0,0,0,0,0,0,2.33E-05,6.16E-06,0,9.07E-06,0,0,0,0,0,0,0,1.24E-05,0,1.95E-06,0,0,0,0,0,0,0,0,0,0,0,0,2.27E-05,0,0,0,0,0,0,0,0,0,0,0,0,3.39E-06,0,0,0,0,0,0,0,0,0,0,0,4.16E-05,0,0,0,0,0,0,0,2.72E-05,0,0,0,2.07E-06,0,0,0,0,0,0,1.13E-05,0,0,0,0,0,0,0,0,2.61E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0.000102922,0.003322531,0.000863264,0.04483277,0.673613871,0.037319009,0.02344335,0.00364727,0.026545774,0.001149224,0.002395749,0.001183318,0.002264078,0.000441977,0.004429929,0.001944102,0.002523692,0,0.003456756,0.000718001,0.006929025,0.00047443,0.015271416,0.000935079,0.006554991,3.99E-06,0.007080714,0.006726422,0.000273284,0.048917838,0.001475227,0.004972308,0.000619248,0.000768095,0.000556412,0.000245439,0.000161971,0.051210475,0.000186901,0.00210582,0,0.00019205,0.000127735,0.0001472,0.001630835,0.000103814,0.000874533,0,4.06E-05,0.00011009,5.89E-05,7.06E-05,0.00019552,1.53E-05,4.58E-05,3.14E-05,0,0,0.001703818,0.000221981,0.000341337,1.01E-05,0,5.20E-06,1.21E-05,5.07E-05,0,3.38E-05,0.001151104,7.09E-06,2.22E-05,4.37E-05,0.00024315,3.94E-05,9.96E-06,0,3.46E-05,1.58E-05,5.44E-06,0.000454357,6.02E-05,6.56E-05,4.79E-06,1.19E-05,2.19E-05,3.05E-06,0.00017243,2.67E-05,0.00011315,0.000465223,6.60E-05,7.99E-05,1.38E-05,1.70E-05,2.27E-06,1.35E-05,1.35E-05,0,0,0,0.000102842,0.00011642,0,0,1.25E-05,1.70E-05,1.87E-05,0,0,1.58E-05,4.39E-06,0,0,0,0.000104308,0.000111608,0,0,0,7.37E-05,0,7.39E-05,0,9.33E-05,0,6.44E-05,1.52E-05,0,0,0,0,6.77E-05,0,0,2.86E-05,1.36E-05,3.52E-06,0,3.69E-06,0,0,4.04E-05,0,0,4.44E-06,7.40E-06,0,0,0,4.49E-05,0,0,0,0,7.75E-06,0,2.27E-05,0,0,2.59E-05,0,0,3.52E-06,2.00E-06,0,0,0,0,0,0,1.67E-05,0,0,0,0,0,0,0,4.49E-06,0,4.81E-06,0,0,0,5.93E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,1.93E-06,0.000446596,0.000108432,0.000853451,0.091989706,0.771288777,0.000190804,2.74E-05,0,1.51E-06,1.82E-05,1.28E-05,2.72E-05,0,2.36E-05,1.62E-05,2.68E-05,0,0.022049711,4.47E-05,0.002737512,4.21E-06,0.010088019,5.90E-06,0.000311995,6.84E-05,0.000109876,2.14E-05,0,0.038721754,0.000816623,0.002201055,7.81E-06,0.000570733,0.00565198,0.001344333,1.78E-06,0.048555747,0,2.54E-06,0,4.01E-06,2.98E-06,2.33E-06,0.000236535,0,3.73E-05,0,0,2.24E-06,0,6.29E-06,9.73E-06,0,0,1.31E-07,0.000120649,0,7.45E-06,0,0,0.000647322,0,0,1.38E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000172624,0,4.62E-06,0,0,0,0,2.51E-06,3.24E-06,0,0,0,0,0.00010019,2.09E-07,0,0,0,0,0,0,0,0.000159143,1.03E-05,0,5.09E-06,0,0,0,0,0,0,0,3.62E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.95E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29E-06,0,0,0,0,0,1.01E-05,0,0,0,0,0,0,4.78E-06,0,0,4.11E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,2.06E-05,0.000442434,0.000211579,0.001121596,0.219268852,0.713762669,1.58E-05,3.63E-05,3.48E-05,2.29E-05,1.51E-05,4.66E-06,4.35E-06,0,4.71E-05,1.01E-05,0.000583874,0,0.019880006,2.17E-05,3.01E-06,1.42E-06,0.003328874,3.60E-06,0.000758627,0.000417125,7.03E-07,6.71E-05,1.56E-07,0.015546287,0.000397666,1.11E-05,0,0.000153286,0.000563967,0.000131571,3.98E-07,0.019743111,1.07E-05,7.87E-05,0,0,4.10E-06,0,9.92E-05,3.49E-07,0.000151422,0,0,0,2.07E-06,5.98E-07,5.04E-06,0,0,1.51E-06,0.000292444,0,6.72E-06,6.59E-08,1.74E-06,0.001410955,0,0,2.79E-05,5.68E-06,3.46E-06,0,0,0,3.55E-06,0,1.68E-05,5.89E-07,0,0,0,2.49E-05,0,1.18E-06,1.67E-06,4.33E-06,0,8.45E-07,8.93E-07,2.50E-05,0,0,0,0,0.000286949,7.42E-08,0.000204098,0,0,4.53E-06,0,0.000356038,0,0.000186588,0,0,8.09E-06,0,0,0,0,0,5.02E-07,1.62E-06,6.44E-06,4.45E-07,0,4.46E-06,0,0,0,0,0,0,0,0,0,7.73E-07,6.71E-07,0,0,3.43E-06,0,0,0,0,0,0,0,0,0,0,2.18E-06,0,2.55E-05,0,1.24E-05,0,6.71E-07,0,0,2.72E-06,4.43E-05,0,0,1.09E-05,4.01E-06,0,0,0,0,0,0,0,0,0,4.81E-07,0,6.48E-07,7.08E-07,0,7.64E-07,0,2.94E-06,0,0,0,0,7.23E-06,3.34E-06,0,0,0,0,0,2.71E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.62E-07,0,0,0,0,0,0,0,0,0,0,0,0,6.25E-07,0,0,0,0,0,0
9,0,7.07E-05,0.030202968,0.000118525,0.452644876,7.80E-05,5.93E-05,0.237172105,0.067714023,0.0003234,0.016977426,0.031116178,0.016877221,0.034031254,0.006856102,0.004509783,0.026786238,0.007756626,0,1.70E-06,0.006095358,0.00019076,0.005948711,0.000229561,0.010922227,6.87E-05,0.000135276,1.00E-07,0.002600606,0.004764121,0.000827517,3.01E-05,0.000150131,0.006189786,5.61E-05,3.33E-07,7.09E-06,0.002343084,0.001850324,0.001090705,0.000174059,0,0.003792561,0.002682483,0.001206755,3.42E-06,0.001475783,1.38E-05,0,0.000910331,0.001582422,0.000623329,0.001684391,0.000743593,0.000347155,0.00108121,0.000725356,0,1.56E-05,3.29E-05,0.00020063,0.000947568,4.70E-07,1.00E-05,2.25E-05,0,0.000229888,2.59E-05,0.000180478,9.67E-07,0.000136662,0.000288375,0.000359449,7.78E-05,0.000371048,9.54E-05,0,0.000349443,1.38E-06,0.00012743,1.55E-07,1.57E-05,3.86E-06,5.89E-05,0.000127986,7.23E-05,3.36E-07,0.000151472,0.000264391,6.86E-05,6.66E-06,0,0.000232926,9.38E-05,0.000204184,9.84E-05,2.51E-05,0.000140233,1.26E-06,5.71E-06,0,7.20E-05,1.60E-06,0,5.05E-05,0.000216546,0.000121857,5.20E-05,2.15E-05,1.27E-06,4.71E-05,4.83E-05,3.82E-05,3.90E-05,2.52E-06,1.44E-07,1.31E-06,0,5.54E-06,0,5.08E-07,7.36E-05,8.04E-07,4.35E-05,4.67E-07,1.59E-06,1.69E-06,2.22E-06,1.31E-05,4.39E-06,0,2.05E-06,2.60E-07,2.46E-06,5.05E-07,4.28E-06,1.27E-05,1.03E-05,1.10E-05,2.36E-05,0,0,5.64E-06,6.12E-07,0,4.08E-05,0,1.23E-05,5.70E-06,0,0,0,2.32E-06,1.91E-07,1.02E-05,8.74E-06,4.59E-07,5.73E-07,8.43E-06,0,1.58E-07,1.27E-05,5.46E-06,0,1.08E-05,8.32E-07,0,0,2.64E-06,1.19E-05,0,6.86E-07,0,0,7.00E-07,0,0,2.35E-06,5.89E-06,2.34E-07,3.53E-06,1.08E-06,6.20E-06,0,0,0,4.82E-07,2.41E-06,5.24E-06,0,0,4.90E-06,2.44E-06,0,4.66E-07,0,0,0,0,0,0,5.80E-07,1.12E-06,0,0,0,0,0,1.61E-06,0,0,2.29E-07,0,9.91E-07,0,0,0,0,2.84E-07,0,1.55E-07
9,1,0.000103311,0.025223754,4.23E-05,0.306066876,0.000138812,3.76E-05,0.366798767,0.081636546,0.000734297,0.042466327,0.044561323,0.054830986,0.006388612,0.001515569,0.001005994,0.004296467,0.004171595,0,6.33E-06,0.013177223,0,0.000571313,0.000678792,0.000349193,7.03E-05,3.66E-05,0,0.000896409,0.006851461,0.002182406,0.000117114,1.14E-05,0.000994152,0.000108791,0,6.28E-06,0.000215705,0.006833648,0.002490383,0.000147234,9.11E-06,0.000522582,0.001596053,0.00349324,1.62E-05,0.000950303,0,0,0.002359,0.001198167,0.001697256,0.000622574,0.000459072,0.000429738,0.001305536,0.000809368,1.88E-05,1.23E-05,1.54E-05,0.000190866,0.000220096,0,1.69E-05,1.63E-05,9.85E-06,0.000207735,7.42E-05,0.001047611,6.84E-06,0.000305184,0.000446401,0.000463654,2.13E-05,0.000314315,0.000113735,0.001083656,0.000129022,1.30E-05,0.000309849,5.35E-07,7.47E-06,2.37E-07,0.000621445,0.000115906,9.26E-05,0,0.000284156,0.000304427,0.000191376,2.60E-05,7.69E-07,8.50E-05,1.29E-06,0.000234381,0.000339546,1.40E-06,9.27E-05,0,0,3.19E-06,6.70E-05,4.31E-05,1.03E-05,9.44E-05,0,1.70E-05,5.03E-05,3.20E-05,0.000128253,8.19E-05,1.07E-05,3.89E-05,5.24E-05,7.48E-05,0,4.48E-06,0,5.27E-06,0,8.51E-06,1.59E-05,1.68E-05,7.80E-05,1.33E-06,7.57E-07,0,3.07E-06,2.52E-06,1.89E-06,4.74E-05,7.22E-05,1.37E-05,7.58E-05,3.22E-06,3.19E-05,3.28E-05,8.49E-07,5.13E-06,4.21E-06,0,0,7.62E-06,0,0,2.33E-06,4.01E-05,3.44E-05,1.14E-06,0,0,0,1.27E-05,0,2.25E-05,0,0,3.12E-06,1.84E-05,0,0,5.67E-06,6.54E-06,5.58E-07,1.95E-06,0,0,0,1.60E-06,1.94E-06,0,8.93E-07,0,1.97E-06,6.72E-07,0,0,1.15E-05,3.29E-06,4.39E-06,0,1.81E-06,3.37E-07,3.42E-07,6.21E-06,0,0,7.33E-07,0,4.65E-06,0,0,2.57E-07,0,7.19E-07,0,0,0,0,0,0,5.90E-07,8.12E-07,0,0,0,0,0,0,0,1.62E-07,1.04E-06,0,0,0,9.22E-08,5.82E-07,0,0,1.77E-07,0
10,0,0.000402635,0.058389569,0.000193284,0.634180642,3.52E-05,1.57E-05,0.003561019,0.221270315,5.57E-05,9.58E-05,0.000636022,0.000297453,0.010987772,0.001890148,0.000263637,0.005977045,0.000314255,1.20E-06,3.95E-06,0.000827792,0,0.019851033,0.00142562,0.008429356,2.59E-05,6.81E-05,0,0.000384944,1.51E-05,0.005102505,0.000204466,0.000253349,0.002191878,5.61E-05,0,9.93E-05,0.001394635,0.010029085,0.00018835,9.52E-05,1.42E-06,0.000464292,0.000157259,0.000182599,4.33E-05,0.00083629,2.65E-06,0,6.43E-05,0.000271118,1.84E-05,6.73E-05,0.000860348,0.001719047,1.83E-05,0.000576021,0,0.000790124,0,0.001167979,2.27E-05,0,0,0.000537213,0,0.000216607,1.29E-06,4.60E-06,0,0.000320535,3.79E-05,0.000153701,3.13E-06,0.000111308,0.000680315,0,7.85E-05,7.65E-07,0,1.36E-06,1.81E-07,6.63E-05,5.11E-06,0.000119909,1.02E-05,0,4.01E-05,2.44E-06,0,0,0,3.40E-05,8.15E-05,0,0,0,6.04E-06,0,0.000372248,0,3.63E-06,0,0,0,0,0.000118457,7.40E-06,0.000208014,1.14E-05,1.16E-05,6.14E-05,0.000100916,6.60E-05,0,0,0,0,3.77E-06,0,0,0,0,0,0,0,0,0,3.13E-06,1.36E-06,0,5.16E-06,0,0,0,0,0,0,1.49E-05,3.89E-07,0,0,0,0,0,0,0,1.84E-06,0,0,0,0,0,0,5.02E-07,0,0,0,0,0,0,5.70E-07,5.87E-06,4.27E-07,6.07E-07,0,0,0,3.10E-06,3.53E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12E-06,0,0,0,0,0,1.35E-06,0,0,0,2.90E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,0.000192988,0.091292784,0.000146526,0.630078147,0.000203225,0.000680136,0.022403736,0.131908868,1.86E-05,0.040123,0.020684331,0.001932174,0.006016895,0.000829299,0.000210364,0.014188164,0.002105884,0,1.45E-05,0.011903487,6.55E-07,6.47E-05,0.000517685,0.002475973,2.96E-05,0.00069945,0,0.000338683,0.003611523,0.001695234,7.01E-05,8.02E-07,0.00011617,2.47E-05,0,2.50E-05,0.001502859,0.003237416,0.001039057,6.18E-05,0,0.000116035,0.000534825,4.15E-07,9.91E-06,0.001336819,1.72E-05,0,5.96E-05,8.34E-05,0.000662173,0.000144398,0.000142207,0.000431354,0.000310052,0.000252772,0,0.000178245,2.69E-07,0.000136039,0.000257192,2.39E-06,7.51E-07,0.000151835,4.44E-07,6.84E-05,0.001367197,2.69E-05,0,0.000424692,0.000176244,9.18E-05,5.77E-06,0.000178419,0.000133352,0,3.76E-05,3.96E-06,0.000499892,2.17E-05,1.45E-06,2.33E-06,3.79E-05,3.04E-05,3.13E-05,4.48E-07,3.24E-06,1.88E-05,1.40E-06,3.25E-06,2.35E-07,2.18E-05,2.33E-06,1.13E-06,2.59E-06,0,0.000164775,0,4.27E-06,2.23E-07,1.32E-05,2.16E-07,0,0.000157808,9.15E-05,4.34E-05,0.00015799,1.39E-05,9.95E-05,5.04E-05,2.18E-06,2.87E-05,1.63E-05,0,0,0,0.000143673,0.000107742,0.000144867,0,3.66E-05,0,1.38E-06,1.01E-06,0,0,0,8.57E-07,9.01E-05,4.29E-05,9.68E-06,0,0,7.06E-05,0,0,6.26E-07,2.58E-06,6.51E-07,0,0,1.35E-06,0,0,3.91E-06,0,4.55E-07,0,0,0,0,0,0,1.49E-06,0,4.44E-07,0,4.49E-07,0,0,3.85E-06,4.03E-06,4.37E-07,3.64E-06,0,0,0,0,5.25E-07,0,0,0,7.63E-07,7.57E-06,0,0,0,1.16E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03E-06,0,0,0,0,0,0,1.96E-06,0,0,0,0,0,8.74E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0